cell_id,n_dives_extrap
4856,523
5083,523
5084,523
5087,523
5289,5227
5295,523
5491,1568
5673,523
5675,523
5676,6272
5830,523
5957,5227
6207,523
6208,523
6336,523
6426,3136
6551,523
6552,1568
6580,3659
6581,23520
6582,1045
6688,1045
6721,1568
6722,2613
6723,26133
6862,17248
6863,1568
6864,1568
6865,81536
7003,4704
7004,3659
7150,15680
7300,523
7473,3659
7637,523
7645,1045
7653,523
7838,1045
7846,2091
7853,523
7854,3136
7855,1045
7856,8363
7857,8363
7858,3659
7863,2091
8063,5749
8066,315692
8067,1568
8068,1045
8070,1045
8071,2091
8073,6795
8074,523
8076,1568
8077,1568
8287,9408
8299,10453
8301,2613
8302,4181
8303,11499
8304,58016
8311,10976
8527,8885
8539,18816
8540,24043
8541,3659
8543,20384
8544,4704
8552,4704
8765,523
8768,523
8783,3136
8784,1045
8785,16203
8786,128054
8789,3136
8790,59584
8791,523
9016,523
9018,523
9020,523
9037,4704
9038,3136
9041,1045
9265,2613
9266,3659
9282,523
9283,13589
9288,1045
9508,12544
9509,10976
9525,1568
9526,5227
9527,1045
9528,2091
9749,523
9750,15157
9751,21952
9753,523
9754,24043
9770,7840
9771,27179
9772,4181
9773,17248
9774,183980
9775,2091
9776,24043
9777,17248
9998,523
9999,3659
10000,523
10001,37632
10009,3136
10016,162550
10017,7317
10018,10976
10019,6795
10020,105579
10021,1045
10022,5227
10156,523
10240,2613
10241,1568
10243,6795
10244,8363
10248,4181
10253,2091
10254,2613
10255,8885
10256,1568
10264,3136
10265,16725
10266,38678
10267,1568
10268,12021
10269,523
10270,523
10271,9931
10272,4181
10274,1045
10279,1045
10485,523
10486,3136
10494,1045
10495,6272
10505,92513
10506,1045
10507,523
10516,18293
10517,1568
10736,127531
10740,523
10741,523
10742,3136
10745,2091
10746,523
10752,523
10757,523
10758,523
10971,1568
10972,1568
10973,1568
10975,2613
10976,12021
10977,32406
10982,523
10983,4181
10984,1045
10985,1045
10986,3659
10987,6272
10988,523
10991,19861
10993,1045
11204,97739
11205,2613
11206,1568
11207,37110
11209,2613
11213,1568
11214,4181
11215,4704
11216,5749
11343,523
11425,6272
11430,523
11434,13067
11435,10976
11436,5227
11649,5749
11650,1568
11652,523
11656,523
11657,3136
11658,64288
11659,59584
11795,10976
11871,5749
11872,1568
11873,4181
11877,8363
11878,49131
11879,1045
11881,160982
11882,29792
11883,9408
11886,1045
11887,1045
11888,468835
11889,94603
12112,11499
12116,1568
12117,5227
12118,9931
12119,1045
12120,2091
12260,1045
12346,1568
12347,16203
12348,6272
12349,55403
12350,2091
12351,4181
12352,16203
12353,1045
12496,4704
12591,16203
12592,98785
12593,68992
12594,13067
12596,523
12600,523
12601,1045
12745,1045
12746,5227
12747,18293
12841,2091
12845,523
12847,2091
12848,523
12850,1045
12851,3136
12998,1568
12999,19861
13000,88854
13100,6795
13247,8363
13248,1045
13249,1568
13250,4704
13342,14635
13343,6795
13344,17771
13345,4704
13346,83627
13496,5227
13497,3136
13498,3136
13499,2613
13500,2091
13501,10453
13507,2613
13592,17248
13593,1045
13744,9408
13745,31360
13747,1568
13842,54880
13843,3136
13844,25611
13997,112897
13998,88331
14020,523
14098,5227
14099,33451
14100,523
14257,8363
14358,1045
14359,2091
14522,523
14621,1568
14622,2613
14623,2613
14625,523
14892,4704
14895,1045
15064,523
15171,2091
15172,63243
15173,4181
15175,523
15176,523
15179,4181
15344,523
15345,3659
15450,3659
15452,42336
15453,199137
15454,98262
15627,1045
15634,13067
15635,6272
15736,60630
15738,523
15740,23520
15741,63766
15742,13589
15750,1568
15751,10976
15752,7840
15931,2613
16034,26133
16035,94081
16036,15680
16039,1568
16042,1045
16043,10453
16044,25611
16225,523
16334,15680
16335,4704
16336,1568
16338,32406
16339,153665
16340,12021
16341,3136
16344,14112
16345,523
16346,1045
16348,4704
16349,64288
16350,20384
16351,2091
16369,523
16532,3659
16634,523
16635,1568
16637,20384
16638,4704
16639,61675
16640,15157
16641,6272
16643,467267
16644,248791
16645,239383
16646,60107
16650,523
16651,5749
16656,27701
16657,13067
16659,17771
16660,523
16681,523
16844,72128
16946,4704
16947,3136
16948,5227
16949,1045
16958,19861
16959,4181
16960,40246
16961,16725
16962,1568
16968,14635
16969,6795
16970,21952
16971,1568
16996,2091
17166,2091
17167,5749
17269,7840
17270,16725
17271,147393
17280,30838
17281,1568
17283,8363
17284,27179
17285,3136
17288,22997
17293,11499
17294,24565
17295,6272
17296,3136
17497,19861
17498,523
17499,4704
17601,3136
17602,1568
17603,134849
17604,287991
17613,35019
17618,15157
17619,5227
17626,523
17628,523
17828,2091
17829,2613
17830,9408
17831,1045
17934,1568
17935,4181
17937,40246
17938,63243
17947,523
17949,36587
17955,2613
17967,1045
18160,523
18161,6272
18162,6272
18164,1568
18165,523
18270,3659
18271,22997
18272,523
18283,2613
18284,2613
18285,3136
18286,17771
18292,6272
18293,24043
18295,2613
18296,523
18300,1568
18301,1045
18306,2091
18500,1568
18610,4181
18624,2613
18626,2613
18633,4704
18634,14635
18637,33451
18643,523
18644,3136
18647,23520
18837,19339
18949,2613
18954,10976
18955,6795
18964,6272
18977,3659
18978,3659
18980,523
18981,1045
18982,2613
18983,12544
19179,1045
19289,29792
19291,3136
19295,20907
19296,45472
19297,2613
19298,523
19299,3659
19321,1568
19322,5749
19324,15157
19332,523
19528,2613
19529,2091
19535,1045
19537,523
19645,9408
19647,22475
19648,26133
19649,2091
19650,1045
19651,7840
19660,1568
19661,2091
19662,20907
19674,523
19682,4181
19683,4704
19687,2613
19688,2091
19697,2091
19888,17248
19889,23520
19891,523
19972,1045
19973,128054
19974,3659
19975,2091
19976,5227
20006,39723
20008,42336
20009,24043
20010,2613
20011,20907
20031,41814
20034,1568
20036,2613
20044,4181
20046,523
20047,1045
20048,523
20052,1045
20253,1045
20255,7317
20259,1568
20337,1045
20339,7840
20372,26133
20373,67947
20374,12544
20375,20907
20397,4181
20398,3659
20399,13067
20401,7317
20402,2091
20411,523
20413,6795
20414,523
20415,3136
20416,8363
20417,4704
20421,6272
20422,5749
20437,8885
20623,1045
20624,523
20708,8363
20710,523
20714,36587
20744,237815
20766,4704
20767,9408
20770,9408
20779,26133
20781,8885
20782,45472
20783,65856
20784,2613
20788,13589
20803,10976
20804,3659
20990,523
21081,5749
21110,3659
21111,70038
21112,17771
21131,2091
21137,523
21138,37110
21150,3659
21151,20384
21152,523
21154,4704
21156,523
21174,523
21360,3659
21362,3659
21450,6795
21451,7317
21479,41814
21480,8363
21481,3136
21484,37110
21486,523
21493,8885
21510,523
21511,523
21513,3136
21525,1045
21528,523
21529,5749
21530,13589
21531,4704
21532,523
21534,25088
21548,2613
21734,401410
21736,4181
21739,523
21857,1568
21858,1568
21859,15680
21860,1045
21861,30838
21863,1045
21899,523
21900,4704
21901,20907
21905,2613
21906,8363
21907,27179
21908,12021
21910,18816
21926,4704
22111,1045
22113,4181
22114,2091
22235,1045
22236,41814
22237,60630
22254,344962
22255,121259
22269,523
22270,3136
22278,2613
22279,4181
22281,44427
22282,5227
22494,1045
22495,1045
22626,15680
22629,523
22633,72128
22649,523
22650,8363
22651,91990
22652,1568
22655,2613
22668,1568
22697,523
22873,5227
22876,523
22877,523
23030,7317
23031,9931
23032,50176
23033,6795
23044,523
23045,4704
23046,13067
23047,1568
23048,56448
23075,14635
23076,2091
23255,11499
23256,3136
23257,1045
23406,5749
23407,523
23420,28747
23421,35019
23422,79446
23423,12021
23443,4181
23444,523
23456,2091
23457,17771
23458,12021
23637,4181
23638,3136
23639,3659
23640,1045
23641,29269
23642,1045
23812,1045
24023,1568
24024,6272
24025,104534
24026,10453
24027,134326
24029,2091
24031,13067
24032,523
24033,2091
24034,523
24160,2091
24204,17771
24420,7317
24421,469357
24422,223180
24424,1568
24425,3136
24427,1045
24608,13067
24609,15680
24616,1045
24623,2091
24813,18293
24815,136939
24819,1045
24821,523
24822,523
24930,6795
24987,3659
24998,21952
25021,4181
25207,40246
25209,523
25210,1045
25323,79446
25375,246700
25392,523
25395,523
25597,523
25626,14635
25758,52790
26141,1045
26518,9408
27124,2091
27125,29269
27126,22475
27127,523
27129,53835
27497,523
27502,523
27503,8885
27504,523
27505,66379
27510,4704
27874,1045
27875,3136
27876,1045
27878,2091
28030,523
28031,21952
28258,12021
28266,1568
28267,2091
28293,2091
28416,27701
28417,3659
28424,5749
28425,14112
28691,1045
28807,14112
28815,191820
28823,137985
28825,51222
29063,2613
29071,3659
29072,2091
29092,523
29093,22475
29094,523
29210,3659
29212,17771
29213,27701
29214,40768
29215,10453
29217,14112
29218,23520
29225,523
29226,233111
29227,1045
29249,1568
29468,2613
29477,4704
29478,4181
29496,3136
29497,12021
29498,8885
29499,3659
29615,13589
29616,1045
29617,44950
29618,5749
29619,33974
29620,116555
29622,6795
29627,175617
29628,823727
29882,1045
29901,523
29902,13589
29903,16725
30019,42859
30028,408728
30029,51744
30030,1568
30035,17248
30082,1045
30311,18293
30312,2091
30313,105057
30314,523
30315,12544
30438,103489
30439,374754
30440,3659
30445,2091
30472,3136
30498,1045
30729,523
30731,315692
30733,34496
30734,2091
30735,2091
30736,523
30856,186070
30858,4704
30864,523
30868,6272
30873,1045
30890,78400
30891,84150
31115,523
31116,4181
31121,2091
31149,1568
31150,1045
31151,509080
31154,1045
31156,1045
31276,39723
31277,34496
31278,144779
31282,4181
31283,2091
31286,523
31293,1045
31294,59584
31311,74219
31312,164641
31537,2091
31538,523
31553,2613
31554,1045
31571,523
31572,15680
31573,78923
31574,22475
31575,4181
31577,2613
31697,113419
31698,20907
31699,6272
31706,523
31713,1045
31714,3659
31715,108715
31998,18293
31999,2091
32000,18293
32003,7317
32004,1045
32123,397229
32125,3659
32129,523
32130,4181
32132,1045
32137,104011
32138,5227
32139,159937
32140,1045
32162,1045
32438,523
32439,8363
32440,44427
32441,538350
32443,4704
32445,8363
32446,113419
32447,30838
32448,19339
32449,9408
32565,139030
32566,51222
32567,97217
32572,71083
32578,18293
32579,77355
32598,6795
32604,523
32605,17771
32844,1045
32845,523
32846,22997
32881,2613
32882,74742
32883,9931
32884,523
32889,1045
32891,14112
32892,2091
33009,26656
33010,8363
33014,6272
33019,1045
33020,5227
33023,15157
33051,2613
33052,2613
33053,19339
33288,1045
33324,523
33327,36587
33330,1045
33336,523
33337,1045
33340,38155
33341,3136
33453,90945
33457,2613
33458,1045
33463,1568
33465,523
33494,523
33733,1568
33781,25611
33782,523
33895,523
33896,17248
33897,14112
33903,37110
33904,33974
33930,523
34177,30838
34183,3136
34213,1568
34215,1568
34216,31360
34227,10976
34228,7317
34341,31360
34342,33974
34348,3659
34374,523
34620,75787
34654,523
34655,1568
34661,1045
34662,1568
34782,523
34783,3659
34784,2091
34789,523
34826,51222
34829,523
34976,4181
35095,523
35111,1045
35112,2091
35113,3136
35114,3136
35261,3659
35262,64288
35273,16725
35425,2613
35426,48608
35554,2091
35555,4704
35557,523
35561,21952
35562,2091
35563,523
35575,66379
35577,4704
35686,2091
35720,1045
35721,1568
35733,105579
35734,1045
35735,8885
35888,218476
35889,7317
36009,523
36014,3136
36017,9931
36020,3659
36023,4181
36027,5227
36034,523
36035,25611
36036,64288
36037,5227
36038,45995
36147,102966
36361,354370
36362,109238
36363,14635
36461,1568
36462,1568
36476,2613
36477,523
36479,120737
36496,523
36497,1045
36506,5227
36614,523
36835,8885
36836,297399
36837,20907
36934,25611
36942,523
36944,10453
36950,352279
36951,1568
36966,7840
37085,6272
37318,523
37319,523
37416,9931
37430,364823
37431,917808
37801,29792
37802,40246
37803,12544
37913,2091
37926,4181
37927,1568
37934,2091
37936,76832
37944,1568
37945,13589
38051,3136
38052,14112
38292,523
38293,97217
38294,2613
38379,26656
38392,2091
38403,1045
38415,215863
38416,6272
38417,10976
38418,37632
38434,3659
38538,1568
38540,523
38779,2091
38780,3136
38864,7317
38867,24043
38879,22997
38881,5227
38882,2613
38893,1045
38905,95649
38921,1568
38922,1045
38923,3136
38924,523
39027,8363
39028,6272
39029,523
39356,17248
39359,20384
39383,14112
39384,11499
39402,25611
39403,1045
39411,523
39412,2613
39413,12544
39415,70560
39417,21429
39419,18293
39422,5227
39519,7317
39520,1045
39872,523
39874,16203
39875,1045
39892,146870
39893,8885
39894,21952
39895,31883
39902,523
39903,523
39909,19339
39910,29269
39911,67424
39912,4181
39913,5227
39914,13589
39915,6795
39916,28747
39917,25088
39918,43382
39920,1045
39921,119169
40013,5227
40014,523
40082,1568
40370,523
40371,136939
40372,7317
40410,4181
40412,16725
40413,1045
40414,1045
40416,81536
40417,2091
40418,523
40420,24043
40872,8885
40874,61675
40875,38678
40919,523
40922,33974
40923,44427
41024,6272
41380,523
41381,24565
41382,37110
41383,57494
41431,2613
41433,29792
41455,3136
41504,4181
41505,6795
41532,1568
41533,6272
41593,1045
41892,4704
41895,25611
41896,9408
41899,9408
41900,3659
42018,3136
42019,9408
42022,22997
42023,140598
42046,2613
42137,8885
42417,523
42419,119691
42420,468835
42421,35019
42422,4704
42468,10453
42469,59584
42470,15680
42544,2091
42545,2613
42618,1568
42942,5227
42944,3659
42952,1045
42955,13067
42973,523
42984,2091
43004,38155
43080,523
43179,10453
43532,15157
43672,11499
43779,34496
44061,4704
44261,2091
44310,56971
44594,50176
44595,10976
44680,6795
44794,14635
44796,3136
45130,11499
45299,523
45331,1568
45379,1045
45670,70038
45875,249313
45876,17248
45923,3136
46178,13067
46206,1568
46211,9931
46217,3136
46218,1568
46221,16203
46341,1045
46395,523
46429,1568
46430,172481
46435,18816
46476,98785
46477,14112
46777,35019
46925,523
46963,375799
46987,523
46989,56448
46992,3659
46993,2091
47292,34496
47315,94081
47317,190774
47332,48608
47346,2091
47381,3136
47422,8363
47510,2091
47523,3136
47524,149484
47525,1568
47526,7317
47527,24565
47548,523
47549,3659
47552,2091
47555,1568
47556,17248
47853,9408
47880,523715
47881,964325
47884,6272
47885,523
47894,66379
47987,1045
48038,523
48051,5227
48052,3136
48076,35542
48086,5749
48090,523
48091,1045
48093,12021
48114,6272
48115,66379
48118,121782
48454,5227
48469,2091
48515,2613
48556,5749
48557,7840
48621,1045
48647,3136
48665,78923
48688,5227
48691,1045
48696,9408
48778,2091
49013,30315
49014,1045
49037,13067
49227,2613
49257,53312
49265,188684
49562,3136
49585,5749
49741,523
49787,523
49788,2091
49795,1045
49819,2091
49822,523
49823,523
49829,1568
50126,51744
50141,1045
50142,10976
50146,12021
50147,7317
50148,7317
50152,10976
50153,523
50297,523
50345,17771
50352,35019
50353,5749
50381,1045
50390,12544
50391,1568
50707,9931
50713,3659
50856,523
50900,1045
50903,725988
50904,236769
50910,1045
50912,8363
50939,2613
50940,1045
50946,1568
50948,136417
50949,111329
50950,523
50951,1045
50952,19861
51250,12021
51257,14112
51264,523
51265,7317
51455,1568
51457,9408
51458,9931
51459,6795
51495,6272
51496,523
51502,22475
51504,1568
51505,275447
51506,17771
51507,24043
51510,523
51534,4704
51807,5749
51808,14112
51813,1045
51820,2613
52008,4181
52010,1568
52011,117601
52012,4704
52060,154710
52061,108193
52063,4704
52064,5227
52090,1045
52364,8885
52365,523
52370,1045
52526,5227
52531,6795
52563,4704
52564,259244
52565,17248
52580,48086
52606,27701
52612,14635
52615,6272
52616,10976
52700,1568
52921,523
52925,2613
53080,2091
53081,3136
53114,352802
53115,26133
53131,8885
53665,42336
53666,18816
53667,1568
53732,1045
54017,3659
54018,2613
54210,144257
54211,413432
54212,1045
54277,17248
54311,523
54723,523
54725,523
54726,1568
54759,523
54760,81014
54761,60107
54795,523
54811,3136
54827,105579
54828,523
54862,51222
55265,9408
55277,523
55278,1045
55279,9408
55312,2091
55313,523
55314,1568
55319,523
55323,3659
55349,3136
55365,20907
55382,7840
55430,3136
55828,1045
55829,523
55879,164641
55880,185025
55881,1568
55911,1045
55913,12544
56165,523
56393,5227
56394,7317
56407,8363
56408,8885
56410,4181
56438,79446
56446,523
56447,10453
56449,29792
56450,66379
56463,1568
56476,544099
56492,9408
56509,18293
56787,22475
56958,173004
56959,36587
57015,49131
57044,523
57055,1568
57463,15680
57530,16203
57531,21952
57532,3659
57585,523
57586,2613
57609,8363
58021,523
58103,8363
58104,4181
58157,45995
58182,30838
58183,523
58598,6272
58617,523
58650,2613
58684,63766
58685,372141
58686,21952
58758,4704
58760,3136
58761,299490
59080,20384
59262,2613
59263,179276
59264,147916
59316,1568
59327,10976
59329,1045
59342,228407
59845,241996
59846,46518
59847,14112
60250,4181
60422,7840
60426,6795
60427,7840
60428,36064
60429,16203
60483,523
60831,4704
61009,3136
61010,9931
61011,17771
61063,4181
61064,334509
61070,1045
61531,523
61587,6795
61640,5227
61643,39723
61644,2613
61650,2091
61658,11499
61659,12021
61660,2091
61670,523
61679,2091
62164,13589
62165,67947
62233,2613
62238,23520
62250,1045
62251,3136
62257,1045
62536,50699
62742,523
62793,523
62801,1045
62802,523
62825,187116
62826,164118
62832,1568
63111,2613
63239,523
63240,523
63372,31360
63373,6795
63374,3659
63375,1568
63384,1568
63402,6795
63888,14635
63889,5749
63945,1568
63946,1568
63954,523
63963,5227
63970,3659
63971,10453
63973,523
64376,2091
64387,2091
64389,3659
64391,3659
64395,9408
64458,3659
64459,4181
64536,9408
64546,13067
64550,1568
64826,4704
64827,4181
64828,1045
64952,8885
64953,5227
64957,523
64958,1045
64961,523
64965,1568
65107,2613
65124,4181
65400,3659
65401,2613
65402,44950
65403,28747
65575,5749
65604,21429
65605,4181
65675,523
65676,11499
65679,3659
65680,16203
65690,523
65696,23520
65697,99830
65698,3136
65973,7317
65974,17771
65975,1045
65976,12544
66172,2613
66245,523
66246,523
66266,3136
66267,22475
66268,1568
66271,11499
66541,9408
66828,523
66830,1568
66836,2613
66837,523
67121,1568
67365,523
67393,18816
67398,1568
67687,16725
67957,33974
67958,1045
67965,2613
68489,2613
68492,1045
68531,2091
68533,2091
68557,5749
68820,1568
69052,523
69062,1568
69068,1045
69115,4704
69372,523
69476,4181
69605,1045
69607,1045
69621,3659
69924,1045
69936,79968
69937,1568
70024,1045
70088,523
70189,3659
70190,22475
70191,6272
70473,1568
70574,32928
70606,4181
70750,2613
70756,11499
70772,2091
70773,523
71127,5749
71128,2613
71159,173526
71160,38155
71302,71083
71683,523
71684,17248
71715,8885
71839,1045
72140,1045
72265,523
72368,3136
72394,2613
72399,523
72400,2613
72401,4704
72402,1045
72439,4704
72440,4181
72698,1045
72795,70560
72823,523
72928,523
72929,166209
72937,6272
72957,7840
72962,1045
72963,4181
72964,46518
72977,5227
73350,2091
73351,7317
73484,9408
73485,3659
73486,21429
73513,4704
73520,1045
73532,1568
73910,24043
74012,2613
74042,1568
74080,1045
74086,2091
74370,3136
74597,523
74604,1568
74640,523
74926,523
75187,523
75189,523
75190,1568
75478,2613
75519,523
75717,20907
75718,2091
75737,2091
75741,1568
75742,523
76039,24565
76041,16725
76137,23520
76159,523
76283,78400
76284,31883
76285,45995
76286,532600
76288,523
76289,4181
76290,1568
76292,7840
76293,2091
76294,1568
76300,523
76301,6795
76303,44427
76304,523
76305,11499
76306,1045
76610,13589
76857,523
76858,386253
76859,201228
76860,1568
76865,2091
76866,298444
76867,64811
76870,1568
76871,3659
76873,1568
76875,4704
76877,9408
76878,6795
76936,2091
77430,71083
77431,1568
77432,1568
77438,14112
77508,2091
77509,3659
77511,4704
77755,1045
78064,2091
78086,4181
78330,4704
78331,1045
78642,2613
78906,2613
79171,4181
79715,523
80168,66379
80752,2091
81342,523
81488,7317
81924,1568
81928,1045
81929,1568
81935,2613
82029,523
82395,2613
82505,523
82507,1045
82514,523
82968,16725
83071,3659
83080,5749
83081,5227
83087,8363
83348,2613
83539,1045
83656,26656
83657,3659
83757,2091
83916,523
83917,2091
84221,523
84222,523
84398,2091
84399,40246
85095,3136
85335,1568
85518,53835
85647,523
85648,2091
85649,31883
86073,27179
86623,1568
86624,22997
86666,36064
86757,13067
87169,54880
87290,1045
87291,16203
87303,523
87445,4181
87712,99307
87713,65334
87716,523
87720,1045
87780,17771
87781,3659
87835,6795
87836,4181
87837,2091
87847,13589
88254,50176
88255,171436
88258,2613
88316,5227
88319,3136
88320,75264
88380,2091
88646,1045
88795,14635
88855,2613
88856,20384
88857,6795
88858,10976
88859,5227
88861,1568
88920,3659
88921,32406
89076,523
89337,2613
89376,3659
89377,30315
89394,20384
89396,50176
89459,4181
89614,28747
89914,4704
89915,29792
89932,54358
89934,1045
89935,1568
90150,523
90412,8885
90413,4181
90415,3659
90473,8885
90474,45472
90475,1568
90489,8363
90951,523
90952,3659
90953,3136
91012,1568
91013,6272
91491,3136
91492,6272
91493,28747
91553,1045
91566,1045
91567,2091
91920,4704
92036,2091
92037,2091
92450,90422
92451,13589
92573,6795
92574,10453
92575,6272
92988,42336
92989,523
93102,1045
93107,2091
93138,3136
93141,1568
93379,5227
93484,523
93515,20384
93646,5749
93666,1045
93667,2613
93669,1568
93670,1568
93705,3659
93735,16725
94044,31883
94537,6272
94679,523
94680,14112
94685,523
94691,1045
95203,2091
95204,1568
95237,7840
95598,3659
95735,1568
95757,1045
95758,20907
95759,2613
95760,6272
95993,136939
95995,60630
95997,106625
95998,7317
96121,1568
96249,1045
96512,523
96513,69515
96514,58539
96627,523
96642,523
96769,3659
96771,21429
96772,17771
97034,523
97035,2613
97036,109238
97037,16203
97152,108715
97167,523
97295,6795
97557,2091
97558,68992
97559,5227
97674,523
97675,5749
97817,1045
97819,10976
98079,5749
98197,28747
98341,523
98723,3659
98870,1045
99129,2091
99402,1045
99403,1045
99660,1045
99780,3136
99934,4181
100841,61675
100879,14112
100993,27701
101174,20384
101247,62720
101367,7840
101368,523
101520,6795
101521,14112
101774,1045
101894,234679
102047,22997
102420,1045
102572,29269
103096,13067
103622,1568
103623,32928
103871,2091
103872,3659
104524,27179
104525,2613
104928,1568
105055,132235
105209,1045
105210,4181
105211,1045
105541,523
105585,523
106115,5749
106270,40768
106646,523
106799,523
106815,2613
107050,3136
107180,2091
107335,25611
107336,18293
107358,3136
107591,60107
107877,60107
107878,45995
107894,8363
108138,2613
108446,195478
108447,35542
108448,4181
108690,523
108691,54880
108979,4704
109000,4181
109001,4704
109002,83104
109246,8885
109315,1045
109535,5227
109536,4704
109560,5227
109561,35542
109934,113419
109935,523
109936,1045
109938,19861
109939,523
110131,1045
110132,297399
110133,154710
110376,2091
110377,21952
110507,82582
110508,2613
110709,1045
110711,1045
110713,2091
111095,1045
111267,1045
111303,5227
111304,10976
111345,5749
111889,3659
111892,8885
111893,18816
111894,3659
111895,21952
111935,7840
111936,178753
112477,1045
112478,4181
112479,31360
112480,2613
112481,5227
112482,12021
112523,3136
112524,8363
112525,4704
113069,18816
113104,1568
113112,37110
113113,7840
113308,1045
113655,523
113698,8363
113699,44950
113700,9931
113701,7840
114239,2613
114240,1568
114283,1568
114285,6272
114866,3136
114868,3659
115400,3136
115401,5227
115402,1045
115403,14112
115644,2091
115987,1045
115988,523
115991,223703
115992,13589
117769,523
119187,2613
119541,1045
119588,2091
119589,4704
119778,523
120175,27701
120176,11499
120360,523
120716,523
120947,2613
121526,9931
121527,2091
121875,523
121876,2613
121877,2613
122455,1568
123828,1568
124207,2613
127022,1568
142459,523
144196,1045
144615,1045
145829,523
