cell_id,n_dives,n_spots,prop_dives,n_dives_extrap
4856,1,1,9.862711062016726e-6,417
5083,1,1,9.862711062016726e-6,417
5084,3,2,2.9588133186050183e-5,1251
5087,1,1,9.862711062016726e-6,417
5289,10,5,9.862711062016727e-5,4170
5295,1,1,9.862711062016726e-6,417
5491,3,3,2.9588133186050183e-5,1251
5673,1,1,9.862711062016726e-6,417
5675,1,1,9.862711062016726e-6,417
5676,13,11,1.2821524380621745e-4,5421
5830,1,1,9.862711062016726e-6,417
5957,10,7,9.862711062016727e-5,4170
6207,1,1,9.862711062016726e-6,417
6208,1,1,9.862711062016726e-6,417
6336,1,1,9.862711062016726e-6,417
6426,6,4,5.9176266372100366e-5,2502
6455,2,2,1.9725422124033453e-5,834
6456,2,2,1.9725422124033453e-5,834
6551,1,1,9.862711062016726e-6,417
6552,3,1,2.9588133186050183e-5,1251
6580,7,5,6.90389774341171e-5,2919
6581,48,33,4.734101309768029e-4,20015
6582,2,1,1.9725422124033453e-5,834
6688,2,2,1.9725422124033453e-5,834
6721,3,3,2.9588133186050183e-5,1251
6722,6,4,5.9176266372100366e-5,2502
6723,56,18,5.523118194729368e-4,23350
6862,34,16,3.3533217610856873e-4,14177
6863,3,2,2.9588133186050183e-5,1251
6864,3,2,2.9588133186050183e-5,1251
6865,161,52,0.0015878964809846931,67132
7003,9,5,8.876439955815054e-5,3753
7004,8,7,7.890168849613381e-5,3336
7150,35,21,3.451948871705854e-4,14594
7300,1,1,9.862711062016726e-6,417
7473,7,4,6.90389774341171e-5,2919
7637,1,1,9.862711062016726e-6,417
7644,2,1,1.9725422124033453e-5,834
7645,6,5,5.9176266372100366e-5,2502
7653,1,1,9.862711062016726e-6,417
7838,3,2,2.9588133186050183e-5,1251
7846,15,10,1.479406659302509e-4,6255
7853,1,1,9.862711062016726e-6,417
7854,6,1,5.9176266372100366e-5,2502
7855,2,1,1.9725422124033453e-5,834
7856,16,2,1.5780337699226762e-4,6672
7857,16,8,1.5780337699226762e-4,6672
7858,7,4,6.90389774341171e-5,2919
7863,4,1,3.9450844248066906e-5,1668
8063,11,9,1.08489821682184e-4,4587
8066,646,122,0.006371311346062806,269362
8067,5,3,4.9313555310083636e-5,2085
8068,4,2,3.9450844248066906e-5,1668
8070,2,1,1.9725422124033453e-5,834
8071,4,1,3.9450844248066906e-5,1668
8073,17,8,1.6766608805428437e-4,7088
8074,1,1,9.862711062016726e-6,417
8076,4,4,3.9450844248066906e-5,1668
8077,4,3,3.9450844248066906e-5,1668
8287,19,17,1.8739151017831783e-4,7922
8299,28,14,2.761559097364684e-4,11675
8301,5,5,4.9313555310083636e-5,2085
8302,8,6,7.890168849613381e-5,3336
8303,22,9,2.16979643364368e-4,9173
8304,119,18,0.0011736626163799905,49619
8311,21,5,2.0711693230235126e-4,8756
8527,17,11,1.6766608805428437e-4,7088
8539,37,18,3.649203092946189e-4,15428
8540,42,26,4.142338646047025e-4,17513
8541,12,11,1.1835253274420073e-4,5004
8543,39,33,3.8464573141865234e-4,16262
8544,10,7,9.862711062016727e-5,4170
8552,9,6,8.876439955815054e-5,3753
8765,1,1,9.862711062016726e-6,417
8768,1,1,9.862711062016726e-6,417
8783,6,4,5.9176266372100366e-5,2502
8784,2,1,1.9725422124033453e-5,834
8785,40,29,3.945084424806691e-4,16679
8786,215,60,0.0021204828783335963,89648
8789,6,4,5.9176266372100366e-5,2502
8790,117,38,0.001153937194255957,48785
8791,1,1,9.862711062016726e-6,417
9016,1,1,9.862711062016726e-6,417
9018,1,1,9.862711062016726e-6,417
9020,1,1,9.862711062016726e-6,417
9037,9,3,8.876439955815054e-5,3753
9038,6,4,5.9176266372100366e-5,2502
9041,2,1,1.9725422124033453e-5,834
9265,5,4,4.9313555310083636e-5,2085
9266,7,7,6.90389774341171e-5,2919
9282,1,1,9.862711062016726e-6,417
9283,30,6,2.958813318605018e-4,12509
9288,2,2,1.9725422124033453e-5,834
9508,24,11,2.3670506548840146e-4,10007
9509,21,9,2.0711693230235126e-4,8756
9525,5,3,4.9313555310083636e-5,2085
9526,13,12,1.2821524380621745e-4,5421
9527,2,2,1.9725422124033453e-5,834
9528,5,4,4.9313555310083636e-5,2085
9749,1,1,9.862711062016726e-6,417
9750,29,18,2.8601862079848507e-4,12092
9751,42,4,4.142338646047025e-4,17513
9753,1,1,9.862711062016726e-6,417
9754,49,20,4.832728420388196e-4,20431
9770,15,5,1.479406659302509e-4,6255
9771,59,27,5.818999526589869e-4,24601
9772,7,6,6.90389774341171e-5,2919
9773,33,23,3.25469465046552e-4,13760
9774,356,100,0.003511125138077955,148441
9775,4,3,3.9450844248066906e-5,1668
9776,46,19,4.5368470885276944e-4,19181
9777,33,14,3.25469465046552e-4,13760
9998,1,1,9.862711062016726e-6,417
9999,7,4,6.90389774341171e-5,2919
10000,1,1,9.862711062016726e-6,417
10001,73,23,7.199779075272211e-4,30439
10009,6,6,5.9176266372100366e-5,2502
10016,328,166,0.0032349692283414866,136766
10017,16,14,1.5780337699226762e-4,6672
10018,21,11,2.0711693230235126e-4,8756
10019,13,10,1.2821524380621745e-4,5421
10020,206,62,0.002031718478775446,85896
10021,2,2,1.9725422124033453e-5,834
10022,10,3,9.862711062016727e-5,4170
10156,1,1,9.862711062016726e-6,417
10240,7,5,6.90389774341171e-5,2919
10241,10,5,9.862711062016727e-5,4170
10243,13,6,1.2821524380621745e-4,5421
10244,16,5,1.5780337699226762e-4,6672
10248,8,4,7.890168849613381e-5,3336
10253,4,4,3.9450844248066906e-5,1668
10254,5,5,4.9313555310083636e-5,2085
10255,18,18,1.7752879911630108e-4,7505
10256,3,3,2.9588133186050183e-5,1251
10264,6,6,5.9176266372100366e-5,2502
10265,32,29,3.1560675398453525e-4,13343
10266,74,70,7.298406185892378e-4,30856
10267,3,3,2.9588133186050183e-5,1251
10268,23,15,2.2684235442638472e-4,9590
10269,2,2,1.9725422124033453e-5,834
10270,1,1,9.862711062016726e-6,417
10271,20,16,1.9725422124033454e-4,8339
10272,8,5,7.890168849613381e-5,3336
10274,2,2,1.9725422124033453e-5,834
10279,2,1,1.9725422124033453e-5,834
10485,10,9,9.862711062016727e-5,4170
10486,6,4,5.9176266372100366e-5,2502
10494,2,2,1.9725422124033453e-5,834
10495,12,12,1.1835253274420073e-4,5004
10497,1,1,9.862711062016726e-6,417
10505,177,15,0.0017456998579769606,73803
10506,2,2,1.9725422124033453e-5,834
10507,1,1,9.862711062016726e-6,417
10516,35,22,3.451948871705854e-4,14594
10517,3,2,2.9588133186050183e-5,1251
10736,249,13,0.0024558150544421653,103825
10740,1,1,9.862711062016726e-6,417
10741,1,1,9.862711062016726e-6,417
10742,6,6,5.9176266372100366e-5,2502
10745,5,5,4.9313555310083636e-5,2085
10746,1,1,9.862711062016726e-6,417
10752,1,1,9.862711062016726e-6,417
10757,1,1,9.862711062016726e-6,417
10758,1,1,9.862711062016726e-6,417
10971,7,7,6.90389774341171e-5,2919
10972,3,3,2.9588133186050183e-5,1251
10973,3,2,2.9588133186050183e-5,1251
10975,5,3,4.9313555310083636e-5,2085
10976,27,4,2.6629319867445164e-4,11258
10977,62,3,6.114880858450371e-4,25852
10982,1,1,9.862711062016726e-6,417
10983,8,8,7.890168849613381e-5,3336
10984,2,2,1.9725422124033453e-5,834
10985,2,2,1.9725422124033453e-5,834
10986,7,7,6.90389774341171e-5,2919
10987,12,12,1.1835253274420073e-4,5004
10988,1,1,9.862711062016726e-6,417
10991,44,22,4.33959286728736e-4,18347
10993,2,1,1.9725422124033453e-5,834
11204,185,27,0.0018246015464730946,77139
11205,5,4,4.9313555310083636e-5,2085
11206,3,3,2.9588133186050183e-5,1251
11207,71,23,7.002524854031876e-4,29605
11209,7,6,6.90389774341171e-5,2919
11213,3,3,2.9588133186050183e-5,1251
11214,8,8,7.890168849613381e-5,3336
11215,9,9,8.876439955815054e-5,3753
11216,13,11,1.2821524380621745e-4,5421
11343,1,1,9.862711062016726e-6,417
11425,7,3,6.90389774341171e-5,2919
11430,1,1,9.862711062016726e-6,417
11434,25,25,2.4656777655041815e-4,10424
11435,21,21,2.0711693230235126e-4,8756
11436,10,7,9.862711062016727e-5,4170
11649,11,4,1.08489821682184e-4,4587
11650,3,3,2.9588133186050183e-5,1251
11652,2,2,1.9725422124033453e-5,834
11656,2,2,1.9725422124033453e-5,834
11657,6,6,5.9176266372100366e-5,2502
11658,127,98,0.0012525643048761244,52955
11659,114,58,0.001124349061069907,47534
11795,21,6,2.0711693230235126e-4,8756
11871,11,9,1.08489821682184e-4,4587
11872,3,1,2.9588133186050183e-5,1251
11873,8,5,7.890168849613381e-5,3336
11877,16,13,1.5780337699226762e-4,6672
11878,107,40,0.0010553100836357898,44616
11879,2,2,1.9725422124033453e-5,834
11881,320,170,0.0031560675398453527,133430
11882,57,27,5.621745305349535e-4,23767
11883,18,2,1.7752879911630108e-4,7505
11886,2,2,1.9725422124033453e-5,834
11887,3,3,2.9588133186050183e-5,1251
11888,949,634,0.009359712797853874,395703
11889,180,61,0.0017752879911630108,75054
12112,22,13,2.16979643364368e-4,9173
12116,3,3,2.9588133186050183e-5,1251
12117,10,10,9.862711062016727e-5,4170
12118,21,9,2.0711693230235126e-4,8756
12119,2,2,1.9725422124033453e-5,834
12120,4,4,3.9450844248066906e-5,1668
12260,2,2,1.9725422124033453e-5,834
12346,3,2,2.9588133186050183e-5,1251
12347,32,12,3.1560675398453525e-4,13343
12348,12,8,1.1835253274420073e-4,5004
12349,111,50,0.0010947609278838567,46284
12350,4,1,3.9450844248066906e-5,1668
12351,11,6,1.08489821682184e-4,4587
12352,29,16,2.8601862079848507e-4,12092
12353,3,3,2.9588133186050183e-5,1251
12496,9,5,8.876439955815054e-5,3753
12591,34,29,3.3533217610856873e-4,14177
12592,192,137,0.0018936405239072117,80058
12593,141,68,0.0013906422597443585,58793
12594,25,14,2.4656777655041815e-4,10424
12596,1,1,9.862711062016726e-6,417
12600,1,1,9.862711062016726e-6,417
12601,2,2,1.9725422124033453e-5,834
12745,2,2,1.9725422124033453e-5,834
12746,10,5,9.862711062016727e-5,4170
12747,35,3,3.451948871705854e-4,14594
12841,4,1,3.9450844248066906e-5,1668
12845,1,1,9.862711062016726e-6,417
12847,5,4,4.9313555310083636e-5,2085
12848,1,1,9.862711062016726e-6,417
12850,2,2,1.9725422124033453e-5,834
12851,8,3,7.890168849613381e-5,3336
12998,3,3,2.9588133186050183e-5,1251
12999,38,20,3.7478302035663565e-4,15845
13000,179,30,0.0017654252801009942,74637
13100,13,8,1.2821524380621745e-4,5421
13247,16,14,1.5780337699226762e-4,6672
13248,2,2,1.9725422124033453e-5,834
13249,3,3,2.9588133186050183e-5,1251
13250,10,9,9.862711062016727e-5,4170
13342,28,19,2.761559097364684e-4,11675
13343,15,10,1.479406659302509e-4,6255
13344,39,16,3.8464573141865234e-4,16262
13345,9,9,8.876439955815054e-5,3753
13346,155,71,0.0015287202146125928,64630
13496,10,9,9.862711062016727e-5,4170
13497,6,5,5.9176266372100366e-5,2502
13498,8,6,7.890168849613381e-5,3336
13499,7,7,6.90389774341171e-5,2919
13500,5,3,4.9313555310083636e-5,2085
13501,20,8,1.9725422124033454e-4,8339
13507,5,4,4.9313555310083636e-5,2085
13592,34,26,3.3533217610856873e-4,14177
13593,2,1,1.9725422124033453e-5,834
13744,19,16,1.8739151017831783e-4,7922
13745,69,22,6.805270632791542e-4,28771
13747,3,1,2.9588133186050183e-5,1251
13842,105,27,0.0010355846615117564,43782
13843,7,7,6.90389774341171e-5,2919
13844,52,32,5.128609752248698e-4,21682
13997,240,167,0.0023670506548840145,100073
13998,182,92,0.0017950134132870444,75888
14020,1,1,9.862711062016726e-6,417
14021,5,5,4.9313555310083636e-5,2085
14098,11,6,1.08489821682184e-4,4587
14099,65,41,6.410762190310873e-4,27103
14100,1,1,9.862711062016726e-6,417
14257,17,3,1.6766608805428437e-4,7088
14358,2,2,1.9725422124033453e-5,834
14359,4,4,3.9450844248066906e-5,1668
14522,1,1,9.862711062016726e-6,417
14621,7,6,6.90389774341171e-5,2919
14622,5,3,4.9313555310083636e-5,2085
14623,5,4,4.9313555310083636e-5,2085
14625,1,1,9.862711062016726e-6,417
14892,9,6,8.876439955815054e-5,3753
14895,2,2,1.9725422124033453e-5,834
15064,1,1,9.862711062016726e-6,417
15171,4,3,3.9450844248066906e-5,1668
15172,121,68,0.001193388038504024,50453
15173,8,4,7.890168849613381e-5,3336
15175,1,1,9.862711062016726e-6,417
15176,1,1,9.862711062016726e-6,417
15179,8,6,7.890168849613381e-5,3336
15344,1,1,9.862711062016726e-6,417
15345,7,4,6.90389774341171e-5,2919
15450,7,4,6.90389774341171e-5,2919
15452,85,56,8.383304402714218e-4,35442
15453,402,155,0.003964809846930724,167621
15454,228,95,0.002248698122139814,95069
15627,2,2,1.9725422124033453e-5,834
15634,26,11,2.564304876124349e-4,10841
15635,13,11,1.2821524380621745e-4,5421
15736,116,18,0.0011440744831939403,48368
15738,2,1,1.9725422124033453e-5,834
15740,46,25,4.5368470885276944e-4,19181
15741,117,73,0.001153937194255957,48785
15742,29,14,2.8601862079848507e-4,12092
15750,3,1,2.9588133186050183e-5,1251
15751,22,12,2.16979643364368e-4,9173
15752,15,2,1.479406659302509e-4,6255
15924,1,1,9.862711062016726e-6,417
15931,5,3,4.9313555310083636e-5,2085
16034,49,23,4.832728420388196e-4,20431
16035,200,125,0.0019725422124033452,83394
16036,29,25,2.8601862079848507e-4,12092
16039,3,3,2.9588133186050183e-5,1251
16042,2,2,1.9725422124033453e-5,834
16043,20,19,1.9725422124033454e-4,8339
16044,54,29,5.325863973489033e-4,22516
16225,1,1,9.862711062016726e-6,417
16334,30,16,2.958813318605018e-4,12509
16335,9,7,8.876439955815054e-5,3753
16336,3,3,2.9588133186050183e-5,1251
16338,79,12,7.791541738993215e-4,32941
16339,322,136,0.0031757929619693863,134264
16340,28,15,2.761559097364684e-4,11675
16341,6,2,5.9176266372100366e-5,2502
16344,33,9,3.25469465046552e-4,13760
16345,1,1,9.862711062016726e-6,417
16346,2,2,1.9725422124033453e-5,834
16348,9,8,8.876439955815054e-5,3753
16349,125,31,0.0012328388827520908,52121
16350,40,10,3.945084424806691e-4,16679
16351,4,3,3.9450844248066906e-5,1668
16369,1,1,9.862711062016726e-6,417
16532,9,9,8.876439955815054e-5,3753
16634,1,1,9.862711062016726e-6,417
16635,3,2,2.9588133186050183e-5,1251
16637,39,16,3.8464573141865234e-4,16262
16638,9,5,8.876439955815054e-5,3753
16639,118,54,0.0011637999053179739,49202
16640,31,17,3.0574404292251856e-4,12926
16641,12,8,1.1835253274420073e-4,5004
16643,1051,724,0.01036570932617958,438234
16644,570,182,0.005621745305349535,237672
16645,509,181,0.0050201199305665144,212237
16646,121,48,0.001193388038504024,50453
16650,3,2,2.9588133186050183e-5,1251
16651,21,9,2.0711693230235126e-4,8756
16656,60,34,5.917626637210036e-4,25018
16657,31,17,3.0574404292251856e-4,12926
16659,32,8,3.1560675398453525e-4,13343
16660,1,1,9.862711062016726e-6,417
16681,1,1,9.862711062016726e-6,417
16844,143,68,0.001410367681868392,59627
16946,9,4,8.876439955815054e-5,3753
16947,7,3,6.90389774341171e-5,2919
16948,10,8,9.862711062016727e-5,4170
16949,10,1,9.862711062016727e-5,4170
16958,38,21,3.7478302035663565e-4,15845
16959,9,6,8.876439955815054e-5,3753
16960,81,41,7.988795960233549e-4,33774
16961,32,21,3.1560675398453525e-4,13343
16962,3,2,2.9588133186050183e-5,1251
16968,28,20,2.761559097364684e-4,11675
16969,14,14,1.380779548682342e-4,5838
16970,44,27,4.33959286728736e-4,18347
16971,3,3,2.9588133186050183e-5,1251
16996,4,2,3.9450844248066906e-5,1668
17166,4,1,3.9450844248066906e-5,1668
17167,11,8,1.08489821682184e-4,4587
17269,15,12,1.479406659302509e-4,6255
17270,32,28,3.1560675398453525e-4,13343
17271,301,201,0.002968676029667035,125508
17280,68,47,6.706643522171375e-4,28354
17281,3,2,2.9588133186050183e-5,1251
17283,21,19,2.0711693230235126e-4,8756
17284,58,22,5.720372415969701e-4,24184
17285,6,2,5.9176266372100366e-5,2502
17288,44,17,4.33959286728736e-4,18347
17293,22,12,2.16979643364368e-4,9173
17294,48,15,4.734101309768029e-4,20015
17295,12,8,1.1835253274420073e-4,5004
17296,6,4,5.9176266372100366e-5,2502
17497,38,22,3.7478302035663565e-4,15845
17498,1,1,9.862711062016726e-6,417
17499,9,3,8.876439955815054e-5,3753
17601,6,5,5.9176266372100366e-5,2502
17602,3,3,2.9588133186050183e-5,1251
17603,276,158,0.0027221082531166166,115083
17604,574,162,0.005661196149597601,239340
17613,66,32,6.50938930093104e-4,27520
17618,29,28,2.8601862079848507e-4,12092
17619,10,3,9.862711062016727e-5,4170
17626,1,1,9.862711062016726e-6,417
17628,1,1,9.862711062016726e-6,417
17828,6,4,5.9176266372100366e-5,2502
17829,5,3,4.9313555310083636e-5,2085
17830,19,11,1.8739151017831783e-4,7922
17831,2,2,1.9725422124033453e-5,834
17934,3,2,2.9588133186050183e-5,1251
17935,8,3,7.890168849613381e-5,3336
17937,81,37,7.988795960233549e-4,33774
17938,121,45,0.001193388038504024,50453
17947,1,1,9.862711062016726e-6,417
17949,77,35,7.59428751775288e-4,32107
17955,6,2,5.9176266372100366e-5,2502
17967,2,1,1.9725422124033453e-5,834
18160,1,1,9.862711062016726e-6,417
18161,12,4,1.1835253274420073e-4,5004
18162,19,13,1.8739151017831783e-4,7922
18164,4,4,3.9450844248066906e-5,1668
18165,1,1,9.862711062016726e-6,417
18270,7,5,6.90389774341171e-5,2919
18271,44,27,4.33959286728736e-4,18347
18272,1,1,9.862711062016726e-6,417
18283,5,3,4.9313555310083636e-5,2085
18284,6,6,5.9176266372100366e-5,2502
18285,7,7,6.90389774341171e-5,2919
18286,34,30,3.3533217610856873e-4,14177
18291,4,3,3.9450844248066906e-5,1668
18292,19,13,1.8739151017831783e-4,7922
18293,46,26,4.5368470885276944e-4,19181
18295,5,3,4.9313555310083636e-5,2085
18296,1,1,9.862711062016726e-6,417
18300,3,3,2.9588133186050183e-5,1251
18301,2,1,1.9725422124033453e-5,834
18306,4,3,3.9450844248066906e-5,1668
18500,6,2,5.9176266372100366e-5,2502
18610,8,4,7.890168849613381e-5,3336
18624,5,4,4.9313555310083636e-5,2085
18626,5,3,4.9313555310083636e-5,2085
18633,9,5,8.876439955815054e-5,3753
18634,29,14,2.8601862079848507e-4,12092
18637,64,14,6.312135079690705e-4,26686
18643,1,1,9.862711062016726e-6,417
18644,10,3,9.862711062016727e-5,4170
18647,46,9,4.5368470885276944e-4,19181
18837,51,40,5.029982641628531e-4,21265
18949,4,2,3.9450844248066906e-5,1668
18954,26,20,2.564304876124349e-4,10841
18955,13,11,1.2821524380621745e-4,5421
18964,12,6,1.1835253274420073e-4,5004
18977,11,5,1.08489821682184e-4,4587
18978,7,6,6.90389774341171e-5,2919
18980,1,1,9.862711062016726e-6,417
18981,2,2,1.9725422124033453e-5,834
18982,5,3,4.9313555310083636e-5,2085
18983,23,15,2.2684235442638472e-4,9590
19179,2,2,1.9725422124033453e-5,834
19289,63,47,6.213507969070538e-4,26269
19291,6,3,5.9176266372100366e-5,2502
19295,40,19,3.945084424806691e-4,16679
19296,101,79,9.961338172636894e-4,42114
19297,8,4,7.890168849613381e-5,3336
19298,1,1,9.862711062016726e-6,417
19299,7,3,6.90389774341171e-5,2919
19321,3,3,2.9588133186050183e-5,1251
19322,13,10,1.2821524380621745e-4,5421
19324,29,22,2.8601862079848507e-4,12092
19332,1,1,9.862711062016726e-6,417
19528,5,1,4.9313555310083636e-5,2085
19529,4,2,3.9450844248066906e-5,1668
19535,2,1,1.9725422124033453e-5,834
19537,1,1,9.862711062016726e-6,417
19645,20,5,1.9725422124033454e-4,8339
19647,48,23,4.734101309768029e-4,20015
19648,56,29,5.523118194729368e-4,23350
19649,4,2,3.9450844248066906e-5,1668
19650,2,2,1.9725422124033453e-5,834
19651,19,11,1.8739151017831783e-4,7922
19660,3,3,2.9588133186050183e-5,1251
19661,6,6,5.9176266372100366e-5,2502
19662,41,14,4.0437115354268583e-4,17096
19674,1,1,9.862711062016726e-6,417
19682,8,3,7.890168849613381e-5,3336
19683,9,9,8.876439955815054e-5,3753
19687,5,5,4.9313555310083636e-5,2085
19688,12,5,1.1835253274420073e-4,5004
19697,4,1,3.9450844248066906e-5,1668
19888,33,3,3.25469465046552e-4,13760
19889,45,6,4.438219977907527e-4,18764
19891,1,1,9.862711062016726e-6,417
19972,2,2,1.9725422124033453e-5,834
19973,246,71,0.002426226921256115,102574
19974,7,7,6.90389774341171e-5,2919
19975,4,4,3.9450844248066906e-5,1668
19976,10,9,9.862711062016727e-5,4170
20006,76,27,7.495660407132713e-4,31690
20008,70,46,6.903897743411708e-4,29188
20009,47,24,4.635474199147862e-4,19598
20010,7,5,6.90389774341171e-5,2919
20011,62,30,6.114880858450371e-4,25852
20031,87,24,8.580558623954552e-4,36276
20034,4,4,3.9450844248066906e-5,1668
20036,5,4,4.9313555310083636e-5,2085
20044,8,6,7.890168849613381e-5,3336
20046,1,1,9.862711062016726e-6,417
20047,2,2,1.9725422124033453e-5,834
20048,1,1,9.862711062016726e-6,417
20052,2,1,1.9725422124033453e-5,834
20253,2,1,1.9725422124033453e-5,834
20255,14,2,1.380779548682342e-4,5838
20259,3,1,2.9588133186050183e-5,1251
20337,2,1,1.9725422124033453e-5,834
20339,15,7,1.479406659302509e-4,6255
20372,52,21,5.128609752248698e-4,21682
20373,128,39,0.001262427015938141,53372
