Family,Genus,Species,Genus_species,Body_size,PLD_mean,Egg_type,Group
APOGONIDAE,Gymnapogon,urospilotus,Gymnapogon urospilotus,3.6,34.6,DEM,Cryptobenthic
CHAENOPSIDAE,Acanthemblemaria,aspera,Acanthemblemaria aspera,4,20.7,DEM,Cryptobenthic
DACTYLOSCOPIDAE,Gillellus,uranidea,Gillellus uranidea,4.5,20.9,DEM,Cryptobenthic
GOBIIDAE,Barbulifer,ceuthoecus,Barbulifer ceuthoecus,3,39.2,DEM,Cryptobenthic
GOBIIDAE,Coryphopterus,kuna,Coryphopterus kuna,2.2,61.35,DEM,Cryptobenthic
GOBIIDAE,Elacatinus,evelynae,Elacatinus evelynae,4,22.3,DEM,Cryptobenthic
GOBIIDAE,Elacatinus,randalli,Elacatinus randalli,4.6,38,DEM,Cryptobenthic
GOBIIDAE,Eviota,melasma,Eviota melasma,3.2,26.2,DEM,Cryptobenthic
GOBIIDAE,Eviota,queenslandica,Eviota queenslandica,3,24.2,DEM,Cryptobenthic
GOBIIDAE,Eviota,sigillata,Eviota sigillata,2.5,24.7,DEM,Cryptobenthic
GOBIIDAE,Gobiosoma,grosvenori,Gobiosoma grosvenori,3,21.3,DEM,Cryptobenthic
GOBIIDAE,Paragobiodon,echinocephalus,Paragobiodon echinocephalus,4,36,DEM,Cryptobenthic
GOBIIDAE,Paragobiodon,lacunicolus,Paragobiodon lacunicolus,3,31,DEM,Cryptobenthic
GOBIIDAE,Paragobiodon,melanosomus,Paragobiodon melanosomus,3.5,42.3,DEM,Cryptobenthic
GOBIIDAE,Priolepis,hipoliti,Priolepis hipoliti,4,55.4,DEM,Cryptobenthic
GOBIIDAE,Trimma,benjamini,Trimma benjamini,3,33.9,DEM,Cryptobenthic
GOBIIDAE,Trimma,nasa,Trimma nasa,2.8,33.9,DEM,Cryptobenthic
TRIPTERYGIIDAE,Axoclinus,nigricaudus,Axoclinus nigricaudus,4.5,18,DEM,Cryptobenthic
TRIPTERYGIIDAE,Enneapterygius,atriceps,Enneapterygius atriceps,2.6,30,DEM,Cryptobenthic
APOGONIDAE,Apogon,aurolineatus,Apogon aurolineatus,6.4,19.5,DEM,Parental care
APOGONIDAE,Apogon,binotatus,Apogon binotatus,15,20.1,DEM,Parental care
APOGONIDAE,Apogon,compressus,Apogon compressus,12,24,DEM,Parental care
APOGONIDAE,Apogon,cyanosoma,Apogon cyanosoma,8,21.1,DEM,Parental care
APOGONIDAE,Apogon,doederleini,Apogon doederleini,14,22.6,DEM,Parental care
APOGONIDAE,Apogon,exostigma,Apogon exostigma,11,33.5,DEM,Parental care
APOGONIDAE,Apogon,fraenatus,Apogon fraenatus,11,25.3,DEM,Parental care
APOGONIDAE,Apogon,imberbis,Apogon imberbis,15,21.3,DEM,Parental care
APOGONIDAE,Apogon,maculatus,Apogon maculatus,11.1,20.7,DEM,Parental care
APOGONIDAE,Apogon,nigrofasciatus,Apogon nigrofasciatus,8,18.5,DEM,Parental care
APOGONIDAE,Apogon,novemfasciatus,Apogon novemfasciatus,9,29.7,DEM,Parental care
APOGONIDAE,Apogon,properuptus,Apogon properuptus,7.5,19.2,DEM,Parental care
APOGONIDAE,Apogon,pseudomaculatus,Apogon pseudomaculatus,8.9,26.8,DEM,Parental care
APOGONIDAE,Apogon,quadrisquamatus,Apogon quadrisquamatus,7,18.7,DEM,Parental care
APOGONIDAE,Astrapogon,stellatus,Astrapogon stellatus,8,20.2,DEM,Parental care
APOGONIDAE,Cheilodipterus,macrodon,Cheilodipterus macrodon,25,16.3,DEM,Parental care
APOGONIDAE,Cheilodipterus,quinquelineatus,Cheilodipterus quinquelineatus,13,17.97,DEM,Parental care
APOGONIDAE,Foa,brachygramma,Foa brachygramma,8,30.6,DEM,Parental care
APOGONIDAE,Fowleria,marmorata,Fowleria marmorata,9,41.3,DEM,Parental care
APOGONIDAE,Nectamia,bandanensis,Nectamia bandanensis,9,24.5,DEM,Parental care
APOGONIDAE,Phaeoptyx,pigmentaria,Phaeoptyx pigmentaria,8,20,DEM,Parental care
APOGONIDAE,Sphaeraemia,orbicularis,Sphaeraemia orbicularis,10,17,DEM,Parental care
BLENNIIDAE,Hypleurochilus,bermudensis,Hypleurochilus bermudensis,10.2,25.4,DEM,Parental care
BLENNIIDAE,Ophioblennius,macclurei,Ophioblennius macclurei,20,38,DEM,Parental care
BLENNIIDAE,Ophioblennius,steindachneri,Ophioblennius steindachneri,25,50,DEM,Parental care
BLENNIIDAE,Parablennius,marmoreus,Parablennius marmoreus,10.8,23.4,DEM,Parental care
BLENNIIDAE,Parablennius,pilicornis,Parablennius pilicornis,12.7,30.5,DEM,Parental care
BLENNIIDAE,Petroscirtes,fallax,Petroscirtes fallax,9.5,21,DEM,Parental care
GOBIIDAE,Amblygobius,phalaena,Amblygobius phalaena,15,19.66,DEM,Parental care
GOBIIDAE,Bathygobius,coalitus,Bathygobius coalitus,12,40,DEM,Parental care
GOBIIDAE,Bathygobius,soporator,Bathygobius soporator,15,29,DEM,Parental care
GOBIIDAE,Nes,longus,Nes longus,10,29,DEM,Parental care
LABRISOMIDAE,Labrisomus,nuchipinnis,Labrisomus nuchipinnis,22,25,DEM,Parental care
LABRISOMIDAE,Malacoctenus,hubbsi,Malacoctenus hubbsi,9,24,DEM,Parental care
POMACENTRIDAE,Abudefduf,abdominalis,Abudefduf abdominalis,30,20.85,DEM,Parental care
POMACENTRIDAE,Abudefduf,bengalensis,Abudefduf bengalensis,17,22.8,DEM,Parental care
POMACENTRIDAE,Abudefduf,concolor,Abudefduf concolor,19,20.85,DEM,Parental care
POMACENTRIDAE,Abudefduf,declivifrons,Abudefduf declivifrons,18,21.9,DEM,Parental care
POMACENTRIDAE,Abudefduf,lorenzi,Abudefduf lorenzi,18,23,DEM,Parental care
POMACENTRIDAE,Abudefduf,saxatilis,Abudefduf saxatilis,23,23.5,DEM,Parental care
POMACENTRIDAE,Abudefduf,sexfasciatus,Abudefduf sexfasciatus,19,19.4,DEM,Parental care
POMACENTRIDAE,Abudefduf,sordidus,Abudefduf sordidus,23,26.1,DEM,Parental care
POMACENTRIDAE,Abudefduf,taurus,Abudefduf taurus,25,24.45,DEM,Parental care
POMACENTRIDAE,Abudefduf,troschelii,Abudefduf troschelii,18,18.1,DEM,Parental care
POMACENTRIDAE,Abudefduf,vaigiensis,Abudefduf vaigiensis,15,21.13,DEM,Parental care
POMACENTRIDAE,Abudefduf,whitleyi,Abudefduf whitleyi,19,18.3,DEM,Parental care
POMACENTRIDAE,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,14,1,DEM,Parental care
POMACENTRIDAE,Amblyglyphidodon,aureus,Amblyglyphidodon aureus,13,16.5,DEM,Parental care
POMACENTRIDAE,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,11,15.68,DEM,Parental care
POMACENTRIDAE,Amblyglyphidodon,leucogaster,Amblyglyphidodon leucogaster,13,16.35,DEM,Parental care
POMACENTRIDAE,Amblyglyphidodon,ternatensis,Amblyglyphidodon ternatensis,10,20,DEM,Parental care
POMACENTRIDAE,Amphiprion,akindynos,Amphiprion akindynos,9,12.4,DEM,Parental care
POMACENTRIDAE,Amphiprion,chrysopterus,Amphiprion chrysopterus,17,17,DEM,Parental care
POMACENTRIDAE,Amphiprion,clarkii,Amphiprion clarkii,15,12.15,DEM,Parental care
POMACENTRIDAE,Amphiprion,melanopus,Amphiprion melanopus,12,12.4,DEM,Parental care
POMACENTRIDAE,Amphiprion,percula,Amphiprion percula,11,10.8,DEM,Parental care
POMACENTRIDAE,Amphiprion,perideraion,Amphiprion perideraion,10,14.3,DEM,Parental care
POMACENTRIDAE,Amphiprion,polymnus,Amphiprion polymnus,13,11,DEM,Parental care
POMACENTRIDAE,Amphiprion,tricinctus,Amphiprion tricinctus,12,10.1,DEM,Parental care
POMACENTRIDAE,Chromis,agilis,Chromis agilis,8,32.7,DEM,Parental care
POMACENTRIDAE,Chromis,alpha,Chromis alpha,8,30,DEM,Parental care
POMACENTRIDAE,Chromis,alta,Chromis alta,13,18.7,DEM,Parental care
POMACENTRIDAE,Chromis,amboinensis,Chromis amboinensis,9,22.1,DEM,Parental care
POMACENTRIDAE,Chromis,atrilobata,Chromis atrilobata,12,30.95,DEM,Parental care
POMACENTRIDAE,Chromis,atripectoralis,Chromis atripectoralis,12,19,DEM,Parental care
POMACENTRIDAE,Chromis,atripes,Chromis atripes,9,30,DEM,Parental care
POMACENTRIDAE,Chromis,caerulea,Chromis caerulea,6.5,26,DEM,Parental care
POMACENTRIDAE,Chromis,caudalis,Chromis caudalis,8,27,DEM,Parental care
POMACENTRIDAE,Chromis,chrysura,Chromis chrysura,14,23.2,DEM,Parental care
POMACENTRIDAE,Chromis,cyanea,Chromis cyanea,15,29.9,DEM,Parental care
POMACENTRIDAE,Chromis,delta,Chromis delta,7,24,DEM,Parental care
POMACENTRIDAE,Chromis,insolata,Chromis insolata,16,25.75,DEM,Parental care
POMACENTRIDAE,Chromis,iomelas,Chromis iomelas,8,24.4,DEM,Parental care
POMACENTRIDAE,Chromis,lepidolepis,Chromis lepidolepis,9,31.5,DEM,Parental care
POMACENTRIDAE,Chromis,limbaughi,Chromis limbaughi,10,23.5,DEM,Parental care
POMACENTRIDAE,Chromis,lineata,Chromis lineata,7,33.75,DEM,Parental care
POMACENTRIDAE,Chromis,margaritifer,Chromis margaritifer,9,31.8,DEM,Parental care
POMACENTRIDAE,Chromis,multilineata,Chromis multilineata,20,28.16,DEM,Parental care
POMACENTRIDAE,Chromis,notata,Chromis notata,17,40,DEM,Parental care
POMACENTRIDAE,Chromis,ternatensis,Chromis ternatensis,10,28.5,DEM,Parental care
POMACENTRIDAE,Chromis,viridis,Chromis viridis,8,23.97,DEM,Parental care
POMACENTRIDAE,Chromis,weberi,Chromis weberi,14,31.2,DEM,Parental care
POMACENTRIDAE,Chromis,xanthura,Chromis xanthura,15,28.2,DEM,Parental care
POMACENTRIDAE,Chrysiptera,biocellata,Chrysiptera biocellata,12,18.4,DEM,Parental care
POMACENTRIDAE,Chrysiptera,brownriggii,Chrysiptera brownriggii,8,22.13,DEM,Parental care
POMACENTRIDAE,Chrysiptera,cyanea,Chrysiptera cyanea,8,17.43,DEM,Parental care
POMACENTRIDAE,Chrysiptera,flavipinnis,Chrysiptera flavipinnis,8,19,DEM,Parental care
POMACENTRIDAE,Chrysiptera,galba,Chrysiptera galba,7,23.5,DEM,Parental care
POMACENTRIDAE,Chrysiptera,glauca,Chrysiptera glauca,10,23.5,DEM,Parental care
POMACENTRIDAE,Chrysiptera,hemicyanea,Chrysiptera hemicyanea,7,19.3,DEM,Parental care
POMACENTRIDAE,Chrysiptera,oxycephala,Chrysiptera oxycephala,9,21.5,DEM,Parental care
POMACENTRIDAE,Chrysiptera,rex,Chrysiptera rex,7,19.78,DEM,Parental care
POMACENTRIDAE,Chrysiptera,rollandi,Chrysiptera rollandi,8,19.76,DEM,Parental care
POMACENTRIDAE,Dascyllus,albisella,Dascyllus albisella,13,25.9,DEM,Parental care
POMACENTRIDAE,Dascyllus,aruanus,Dascyllus aruanus,10,21.1,DEM,Parental care
POMACENTRIDAE,Dascyllus,flavicaudus,Dascyllus flavicaudus,11,27.7,DEM,Parental care
POMACENTRIDAE,Dascyllus,melanurus,Dascyllus melanurus,8,22.25,DEM,Parental care
POMACENTRIDAE,Dascyllus,reticulatus,Dascyllus reticulatus,9,22.7,DEM,Parental care
POMACENTRIDAE,Dascyllus,trimaculatus,Dascyllus trimaculatus,11,28,DEM,Parental care
POMACENTRIDAE,Dischistodus,chrysopoecilus,Dischistodus chrysopoecilus,15,19.5,DEM,Parental care
POMACENTRIDAE,Dischistodus,melanotus,Dischistodus melanotus,16,14.85,DEM,Parental care
POMACENTRIDAE,Dischistodus,perspicillatus,Dischistodus perspicillatus,18,14.9,DEM,Parental care
POMACENTRIDAE,Dischistodus,prosopotaenia,Dischistodus prosopotaenia,18.5,23.5,DEM,Parental care
POMACENTRIDAE,Dischistodus,pseudochrysopoecilus,Dischistodus pseudochrysopoecilus,18,17.6,DEM,Parental care
POMACENTRIDAE,Hemiglyphidodon,plagiometopon,Hemiglyphidodon plagiometopon,18,18,DEM,Parental care
POMACENTRIDAE,Lepidozygus,tapeinosoma,Lepidozygus tapeinosoma,10,19.35,DEM,Parental care
POMACENTRIDAE,Microspathodon,bairdii,Microspathodon bairdii,30,25.9,DEM,Parental care
POMACENTRIDAE,Microspathodon,chrysurus,Microspathodon chrysurus,21,25.85,DEM,Parental care
POMACENTRIDAE,Microspathodon,dorsalis,Microspathodon dorsalis,31,31.45,DEM,Parental care
POMACENTRIDAE,Neoglyphidodon,melas,Neoglyphidodon melas,18,15.45,DEM,Parental care
POMACENTRIDAE,Neoglyphidodon,nigroris,Neoglyphidodon nigroris,13,18.8,DEM,Parental care
POMACENTRIDAE,Neopomacentrus,azysron,Neopomacentrus azysron,8,22,DEM,Parental care
POMACENTRIDAE,Neopomacentrus,bankieri,Neopomacentrus bankieri,6.5,21,DEM,Parental care
POMACENTRIDAE,Neopomacentrus,cyanomos,Neopomacentrus cyanomos,10,17.5,DEM,Parental care
POMACENTRIDAE,Neopomacentrus,filamentosus,Neopomacentrus filamentosus,11,20,DEM,Parental care
POMACENTRIDAE,Neopomacentrus,nemurus,Neopomacentrus nemurus,8,19.2,DEM,Parental care
POMACENTRIDAE,Nexilosus,latifrons,Nexilosus latifrons,30,29.2,DEM,Parental care
POMACENTRIDAE,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,11,26.6,DEM,Parental care
POMACENTRIDAE,Plectroglyphidodon,johnstonianus,Plectroglyphidodon johnstonianus,14,31.7,DEM,Parental care
POMACENTRIDAE,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,10,22.35,DEM,Parental care
POMACENTRIDAE,Plectroglyphidodon,sindonis,Plectroglyphidodon sindonis,10,30,DEM,Parental care
POMACENTRIDAE,Pomacentrus,alexanderae,Pomacentrus alexanderae,9,20.65,DEM,Parental care
POMACENTRIDAE,Pomacentrus,amboinensis,Pomacentrus amboinensis,9,20.14,DEM,Parental care
POMACENTRIDAE,Pomacentrus,australis,Pomacentrus australis,8,25,DEM,Parental care
POMACENTRIDAE,Pomacentrus,bankanensis,Pomacentrus bankanensis,9,18.4,DEM,Parental care
POMACENTRIDAE,Pomacentrus,brachialis,Pomacentrus brachialis,8,18,DEM,Parental care
POMACENTRIDAE,Pomacentrus,burroughi,Pomacentrus burroughi,8,16.8,DEM,Parental care
POMACENTRIDAE,Pomacentrus,chrysurus,Pomacentrus chrysurus,9,17,DEM,Parental care
POMACENTRIDAE,Pomacentrus,coelestis,Pomacentrus coelestis,9,17.82,DEM,Parental care
POMACENTRIDAE,Pomacentrus,emarginatus,Pomacentrus emarginatus,9,18.4,DEM,Parental care
POMACENTRIDAE,Pomacentrus,grammorhynchus,Pomacentrus grammorhynchus,9,16.4,DEM,Parental care
POMACENTRIDAE,Pomacentrus,lepidogenys,Pomacentrus lepidogenys,9,20,DEM,Parental care
POMACENTRIDAE,Pomacentrus,moluccensis,Pomacentrus moluccensis,9,19.17,DEM,Parental care
POMACENTRIDAE,Pomacentrus,nagasakiensis,Pomacentrus nagasakiensis,10,22.35,DEM,Parental care
POMACENTRIDAE,Pomacentrus,pavo,Pomacentrus pavo,8,26.24,DEM,Parental care
POMACENTRIDAE,Pomacentrus,philippinus,Pomacentrus philippinus,10,16,DEM,Parental care
POMACENTRIDAE,Pomacentrus,reidi,Pomacentrus reidi,9,18,DEM,Parental care
POMACENTRIDAE,Pomacentrus,simsiang,Pomacentrus simsiang,7,15.8,DEM,Parental care
POMACENTRIDAE,Pomacentrus,taeniometopon,Pomacentrus taeniometopon,12,15.7,DEM,Parental care
POMACENTRIDAE,Pomacentrus,vaiuli,Pomacentrus vaiuli,10,21.16,DEM,Parental care
POMACENTRIDAE,Pomacentrus,wardi,Pomacentrus wardi,8,21.66,DEM,Parental care
POMACENTRIDAE,Pomachromis,richardsoni,Pomachromis richardsoni,9.5,21.7,DEM,Parental care
POMACENTRIDAE,Premnas,biaculeatus,Premnas biaculeatus,17,9.2,DEM,Parental care
POMACENTRIDAE,Pristotis,obtusirostris,Pristotis obtusirostris,14,25.3,DEM,Parental care
POMACENTRIDAE,Stegastes,acapulcoensis,Stegastes acapulcoensis,17,22,DEM,Parental care
POMACENTRIDAE,Stegastes,adustus,Stegastes adustus,12,23.8,DEM,Parental care
POMACENTRIDAE,Stegastes,apicalis,Stegastes apicalis,15,29.7,DEM,Parental care
POMACENTRIDAE,Stegastes,arcifrons,Stegastes arcifrons,15,27.55,DEM,Parental care
POMACENTRIDAE,Stegastes,baldwini,Stegastes baldwini,9,26,DEM,Parental care
POMACENTRIDAE,Stegastes,beebei,Stegastes beebei,15,32.3,DEM,Parental care
POMACENTRIDAE,Stegastes,diaencaeus,Stegastes diaencaeus,15,25.72,DEM,Parental care
POMACENTRIDAE,Stegastes,emeryi,Stegastes emeryi,10,22.6,DEM,Parental care
POMACENTRIDAE,Stegastes,fasciolatus,Stegastes fasciolatus,15,29.95,DEM,Parental care
POMACENTRIDAE,Stegastes,flavilatus,Stegastes flavilatus,10,28.5,DEM,Parental care
POMACENTRIDAE,Stegastes,leucorus,Stegastes leucorus,14,32.86,DEM,Parental care
POMACENTRIDAE,Stegastes,leucostictus,Stegastes leucostictus,12,25.29,DEM,Parental care
POMACENTRIDAE,Stegastes,lividus,Stegastes lividus,8.9,25,DEM,Parental care
POMACENTRIDAE,Stegastes,nigricans,Stegastes nigricans,14,31.68,DEM,Parental care
POMACENTRIDAE,Stegastes,partitus,Stegastes partitus,10,31.41,DEM,Parental care
POMACENTRIDAE,Stegastes,planifrons,Stegastes planifrons,15,24.1,DEM,Parental care
POMACENTRIDAE,Stegastes,punctatus,Stegastes punctatus,15,25,DEM,Parental care
POMACENTRIDAE,Stegastes,rectifraenum,Stegastes rectifraenum,9,21.5,DEM,Parental care
POMACENTRIDAE,Stegastes,redemptus,Stegastes redemptus,12,27.65,DEM,Parental care
POMACENTRIDAE,Stegastes,xanthurus,Stegastes xanthurus,12,24.5,DEM,Parental care
POMACENTRIDAE,Teixeirichthys,jordani,Teixeirichthys jordani,14,25.3,DEM,Parental care
PSEUDOCHROMIDAE,Pseudochromis,quinquedentatus,Pseudochromis quinquedentatus,9.5,61,DEM,Parental care
ACANTHURIDAE,Naso,lituratus,Naso lituratus,46,69.4,PEL,Transient
CARANGIDAE,Caranx,melampygus,Caranx melampygus,100,57.6,PEL,Transient
EPINEPHELIDAE,Epinephelus,adscensionis,Epinephelus adscensionis,62,40,PEL,Transient
EPINEPHELIDAE,Epinephelus,itajara,Epinephelus itajara,250,55,PEL,Transient
EPINEPHELIDAE,Epinephelus,marginatus,Epinephelus marginatus,150,24.6,PEL,Transient
EPINEPHELIDAE,Epinephelus,striatus,Epinephelus striatus,100,42,PEL,Transient
EPINEPHELIDAE,Mycteroperca,bonaci,Mycteroperca bonaci,150,41,PEL,Transient
EPINEPHELIDAE,Mycteroperca,microlepis,Mycteroperca microlepis,145,43,PEL,Transient
EPINEPHELIDAE,Plectropomus,leopardus,Plectropomus leopardus,120,25.2,PEL,Transient
LABRIDAE,Lachnolaimus,maximus,Lachnolaimus maximus,91,25.8,PEL,Transient
LETHRINIDAE,Lethrinus,harak,Lethrinus harak,50,28,PEL,Transient
LETHRINIDAE,Lethrinus,nebulosus,Lethrinus nebulosus,86,32.7,PEL,Transient
LETHRINIDAE,Lethrinus,obsoletus,Lethrinus obsoletus,50,25.7,PEL,Transient
LETHRINIDAE,Lethrinus,olivaceus,Lethrinus olivaceus,100,30,PEL,Transient
LETHRINIDAE,Lethrinus,xanthochilus,Lethrinus xanthochilus,70,26.65,PEL,Transient
LETHRINIDAE,Monotaxis,grandoculis,Monotaxis grandoculis,60,33.3,PEL,Transient
LUTJANIDAE,Lutjanus,argentiventris,Lutjanus argentiventris,71,22.9,PEL,Transient
LUTJANIDAE,Lutjanus,campechanus,Lutjanus campechanus,100,28,PEL,Transient
LUTJANIDAE,Lutjanus,cyanopterus,Lutjanus cyanopterus,160,29,PEL,Transient
LUTJANIDAE,Lutjanus,gibbus,Lutjanus gibbus,50,54,PEL,Transient
LUTJANIDAE,Lutjanus,griseus,Lutjanus griseus,66,32.4,PEL,Transient
LUTJANIDAE,Lutjanus,novemfasciatus,Lutjanus novemfasciatus,170,21.75,PEL,Transient
LUTJANIDAE,Lutjanus,synagris,Lutjanus synagris,71,23.87,PEL,Transient
LUTJANIDAE,Ocyurus,chrysurus,Ocyurus chrysurus,86,30.9,PEL,Transient
MULLIDAE,Mulloidichthys,flavolineatus,Mulloidichthys flavolineatus,40,60.1,PEL,Transient
ACANTHURIDAE,Acanthurus,bahianus,Acanthurus bahianus,35,52.3,PEL,Resident
ACANTHURIDAE,Acanthurus,chirurgus,Acanthurus chirurgus,34,55.2,PEL,Resident
ACANTHURIDAE,Acanthurus,coeruleus,Acanthurus coeruleus,36,51.6,PEL,Resident
ACANTHURIDAE,Acanthurus,lineatus,Acanthurus lineatus,38,39.5,PEL,Resident
ACANTHURIDAE,Acanthurus,nigricans,Acanthurus nigricans,21,59.7,PEL,Resident
ACANTHURIDAE,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,21,31,PEL,Resident
ACANTHURIDAE,Acanthurus,olivaceus,Acanthurus olivaceus,35,59.65,PEL,Resident
ACANTHURIDAE,Acanthurus,tractus,Acanthurus tractus,35,52.3,PEL,Resident
ACANTHURIDAE,Acanthurus,triostegus,Acanthurus triostegus,27,47.4,PEL,Resident
ACANTHURIDAE,Ctenochaetus,binotatus,Ctenochaetus binotatus,22,58.5,PEL,Resident
ACANTHURIDAE,Ctenochaetus,flavicauda,Ctenochaetus flavicauda,11.8,31,PEL,Resident
ACANTHURIDAE,Ctenochaetus,striatus,Ctenochaetus striatus,26,43.87,PEL,Resident
ACANTHURIDAE,Naso,annulatus,Naso annulatus,100,62.3,PEL,Resident
ACANTHURIDAE,Naso,brevirostris,Naso brevirostris,60,79.65,PEL,Resident
ACANTHURIDAE,Naso,hexacanthus,Naso hexacanthus,75,91.2,PEL,Resident
ACANTHURIDAE,Naso,unicornis,Naso unicornis,70,73.9,PEL,Resident
ACANTHURIDAE,Naso,vlamingii,Naso vlamingii,55,77.3,PEL,Resident
ACANTHURIDAE,Paracanthurus,hepatus,Paracanthurus hepatus,31,37,PEL,Resident
ACANTHURIDAE,Zebrasoma,flavescens,Zebrasoma flavescens,20,54,PEL,Resident
ACANTHURIDAE,Zebrasoma,scopas,Zebrasoma scopas,40,55.2,PEL,Resident
ACANTHURIDAE,Zebrasoma,veliferum,Zebrasoma veliferum,40,35.75,PEL,Resident
BALISTIDAE,Balistapus,undulatus,Balistapus undulatus,30,51.3,PEL,Resident
BALISTIDAE,Balistes,vetula,Balistes vetula,50,75,PEL,Resident
BALISTIDAE,Balistoides,conspicillum,Balistoides conspicillum,26,36,PEL,Resident
BALISTIDAE,PSeudobalistes,flavimarginatus,PSeudobalistes flavimarginatus,60,44.5,PEL,Resident
BALISTIDAE,Rhineacanthus,aculeatus,Rhineacanthus aculeatus,30,45,PEL,Resident
BALISTIDAE,Rhinecanthus,rectangulus,Rhinecanthus rectangulus,30,43.5,PEL,Resident
CHAETODONTIDAE,Chaetodon,auriga,Chaetodon auriga,23,44.27,PEL,Resident
CHAETODONTIDAE,Chaetodon,baronessa,Chaetodon baronessa,16,35.5,PEL,Resident
CHAETODONTIDAE,Chaetodon,capistratus,Chaetodon capistratus,20,38,PEL,Resident
CHAETODONTIDAE,Chaetodon,citrinellus,Chaetodon citrinellus,13,50.5,PEL,Resident
CHAETODONTIDAE,Chaetodon,collare,Chaetodon collare,18,43,PEL,Resident
CHAETODONTIDAE,Chaetodon,ephippium,Chaetodon ephippium,23,38.5,PEL,Resident
CHAETODONTIDAE,Chaetodon,flavirostris,Chaetodon flavirostris,20,47.27,PEL,Resident
CHAETODONTIDAE,Chaetodon,kleinii,Chaetodon kleinii,15,56,PEL,Resident
CHAETODONTIDAE,Chaetodon,lineolatus,Chaetodon lineolatus,30,54,PEL,Resident
CHAETODONTIDAE,Chaetodon,lunula,Chaetodon lunula,21,43,PEL,Resident
CHAETODONTIDAE,Chaetodon,lunulatus,Chaetodon lunulatus,15,39.3,PEL,Resident
CHAETODONTIDAE,Chaetodon,miliaris,Chaetodon miliaris,13,60,PEL,Resident
CHAETODONTIDAE,Chaetodon,ocellatus,Chaetodon ocellatus,15,35.5,PEL,Resident
CHAETODONTIDAE,Chaetodon,ornatissimus,Chaetodon ornatissimus,18,62.5,PEL,Resident
CHAETODONTIDAE,Chaetodon,plebeius,Chaetodon plebeius,15,44,PEL,Resident
CHAETODONTIDAE,Chaetodon,rainfordi,Chaetodon rainfordi,15,31.4,PEL,Resident
