,SciName,PLD,database,Family_aqua,Family_fishbase,Family_marshall,Family_manual,Note,References
1,Auxis rochei,16,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
2,Coregonus schinzii,29,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
3,Sciaenops ocellatus,22,Fish and Inverts (Ramesh),Sciaenidae,Sciaenidae,NA,Sciaenidae,,
4,Scomber thazard,10,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
5,Anchoviella mauii,35,Fish and Inverts (Ramesh),NA,NA,NA,Engraulidae,,
6,Solea vulgaris vulgaris,35,Fish and Inverts (Ramesh),NA,NA,NA,Soleidae,,
7,Alosa pilchardus,40,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
8,Sardina pilchardus,40,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
9,Sardinella aurita,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
10,Thunnus albacares,25,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
11,Thunnus albacares,25,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
12,Thunnus albacares,25,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
13,Coregonus artedii,26,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
14,Clupea harengus membras,160,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
15,Thunnus maccoyii,24,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
16,Auxis thazzard,10,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
17,Sparus aurata,50,Fish and Inverts (Ramesh),Sparidae,Sparidae,NA,Sparidae,,
18,Sardinella pinnula,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
19,Chanos chanos,44,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
20,Chanos chanos,44,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
21,Chanos chanos,44,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
22,Chanos chanos,44,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
23,Gadus morhua,100,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
24,Gadus morhua,100,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
25,Gadus morhua,100,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
26,Gadus morhua,100,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
27,Trachurus symmetricus,0,Fish and Inverts (Ramesh),Carangidae,Carangidae,NA,Carangidae,,
28,Auxis vulgaris,16,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
29,Amblyglyphidodon curacao,13,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
30,Engraulis mordax,35,Fish and Inverts (Ramesh),Engraulidae,Engraulidae,NA,Engraulidae,,
31,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
32,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
33,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
34,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
35,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
36,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
37,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
38,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
39,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
40,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
41,Scophthalmus maximus,39,Fish and Inverts (Ramesh),Scophthalmidae,Scophthalmidae,NA,Scophthalmidae,,
42,Coregonus rondeletii,19,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
43,Caranx symmetricus,0,Fish and Inverts (Ramesh),NA,NA,NA,Carangidae,,
44,Stolephorus zollingeri,47,Fish and Inverts (Ramesh),NA,NA,NA,Engraulidae,,
45,Archosargus rhomboidalis,21,Fish and Inverts (Ramesh),Sparidae,Sparidae,NA,Sparidae,,
46,Morone saxatilis,33,Fish and Inverts (Ramesh),Moronidae,Moronidae,NA,Moronidae,,
47,Salmo labradoricus,40,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
48,Centropomus mullus,46,Fish and Inverts (Ramesh),NA,NA,NA,Centropomidae,,
49,Centropomus mullus,46,Fish and Inverts (Ramesh),NA,NA,NA,Centropomidae,,
50,Centropomus mullus,46,Fish and Inverts (Ramesh),NA,NA,NA,Centropomidae,,
51,Sparidentex hasta,0,Fish and Inverts (Ramesh),Sparidae,Sparidae,NA,Sparidae,,
52,Harengula jaguana,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
53,Coregonus sapidissimus,40,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
54,Dicentrarchus lupus,46,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
55,Dicentrarchus lupus,46,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
56,Dicentrarchus lupus,46,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
57,Scolopsis taeniopterus,19,Fish and Inverts (Ramesh),NA,NA,NA,Nemipteridae,,
58,Opisthonema oglinum,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
59,Merluccius productus,88,Fish and Inverts (Ramesh),Merlucciidae,Merlucciidae,NA,Merlucciidae,,
60,Morone labrax,46,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
61,Morone labrax,46,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
62,Morone labrax,46,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
63,Alosa pseudoharengus,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
64,Alosa pseudoharengus,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
65,Alosa pseudoharengus,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
66,Alosa pseudoharengus,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
67,Alosa pseudoharengus,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
68,Alosa pseudoharengus,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
69,Alosa pseudoharengus,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
70,Pleuronectes platessa,100,Fish and Inverts (Ramesh),Pleuronectidae,Pleuronectidae,NA,Pleuronectidae,,
71,Engraulis japonicus,47,Fish and Inverts (Ramesh),Engraulidae,Engraulidae,NA,Engraulidae,,
72,Salmo tullibee,26,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
73,Solea solea,35,Fish and Inverts (Ramesh),Soleidae,Soleidae,NA,Soleidae,,
74,Scomber rochei,16,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
75,Dicentrarchus labrax,46,Fish and Inverts (Ramesh),Moronidae,Moronidae,NA,Moronidae,,
76,Dicentrarchus labrax,46,Fish and Inverts (Ramesh),Moronidae,Moronidae,NA,Moronidae,,
77,Dicentrarchus labrax,46,Fish and Inverts (Ramesh),Moronidae,Moronidae,NA,Moronidae,,
78,Stolephorus tapirulus,74,Fish and Inverts (Ramesh),NA,NA,NA,Engraulidae,,
79,Alosa musica,44,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
80,Alosa musica,44,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
81,Alosa musica,44,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
82,Alosa musica,44,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
83,Theragra chalcogramma,108,Fish and Inverts (Ramesh),Gadidae,NA,NA,Gadidae,,
84,Katsuwonus pelamis,20,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
85,Dentex hasta,0,Fish and Inverts (Ramesh),NA,NA,NA,Sparidae,,
86,Semicossyphus pulcher,52,Fish and Inverts (Ramesh),Labridae,Labridae,NA,Labridae,,
87,Pagrus major,47,Fish and Inverts (Ramesh),Sparidae,Sparidae,NA,Sparidae,,
88,Mugil salmoneus,44,Fish and Inverts (Ramesh),NA,NA,NA,Mugilidae,,
89,Mugil salmoneus,44,Fish and Inverts (Ramesh),NA,NA,NA,Mugilidae,,
90,Mugil salmoneus,44,Fish and Inverts (Ramesh),NA,NA,NA,Mugilidae,,
91,Mugil salmoneus,44,Fish and Inverts (Ramesh),NA,NA,NA,Mugilidae,,
92,Auxis thazard,10,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
93,Sardinops sagax,44,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
94,Sardinops sagax,44,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
95,Sardinops sagax,44,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
96,Sardinops sagax,44,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
97,Mallotus villosus,150,Fish and Inverts (Ramesh),Osmeridae,Osmeridae,NA,Osmeridae,,
98,Scomber scombrus,40,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
99,Scomber scombrus,40,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
100,Scomber scombrus,40,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
101,Scomber scombrus,40,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
102,Scomberomorus cavalla,12,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
103,Lutjanus triangulum,22,Fish and Inverts (Ramesh),NA,NA,NA,Lutjanidae,,
104,Micromesistius poutassou,0,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
105,Micromesistius poutassou,0,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
106,Scomber thynnus,28,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
107,Scomber maculatus,9,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
108,Scomber maculatus,9,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
109,Scomber maculatus,9,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
110,Decapterus polyaspis,0,Fish and Inverts (Ramesh),NA,NA,NA,Carangidae,,
111,Coregonus brevis,28,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
112,Clupea harengus,160,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
113,Trachurus symmetricus symmetricus,0,Fish and Inverts (Ramesh),NA,NA,NA,Carangidae,,
114,Morone rufa,85,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
115,Coregonus albula,28,Fish and Inverts (Ramesh),Salmonidae,Salmonidae,NA,Salmonidae,,
116,Scomber vulgaris,40,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
117,Scomber vulgaris,40,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
118,Scomber vulgaris,40,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
119,Scomber vulgaris,40,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
120,Scomber sloanei,25,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
121,Scomber sloanei,25,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
122,Scomber sloanei,25,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
123,Coregonus lavaretus,19,Fish and Inverts (Ramesh),Salmonidae,Salmonidae,NA,Salmonidae,,
124,Salmo socialis,150,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
125,Oreochromis mossambicus,0,Fish and Inverts (Ramesh),NA,Cichlidae,NA,Cichlidae,,
126,Thunnus zacalles,25,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
127,Thunnus zacalles,25,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
128,Thunnus zacalles,25,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
129,Alosa teres,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
130,Alosa teres,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
131,Alosa teres,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
132,Alosa teres,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
133,Centropomus sandat,0,Fish and Inverts (Ramesh),NA,NA,NA,Centropomidae,,
134,Salmo lavaretus,19,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
135,Thunnus rocheanus,16,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
136,Pseudopleuronectes americanus,87,Fish and Inverts (Ramesh),Pleuronectidae,Pleuronectidae,NA,Pleuronectidae,,
137,Menidia menidia,35,Fish and Inverts (Ramesh),Atherinopsidae,Atherinopsidae,NA,Atherinopsidae,,
138,Harengula pensacolae,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
139,Abudefduf melanopselion,18,Fish and Inverts (Ramesh),NA,NA,NA,Pomacentridae,,
140,Dorosoma notata,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
141,Dorosoma notata,0,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
142,Cynoscion nebulosus,19,Fish and Inverts (Ramesh),Sciaenidae,Sciaenidae,NA,Sciaenidae,,
143,Labroides dimidiatus,26,Fish and Inverts (Ramesh),Labridae,Labridae,NA,Labridae,,
144,Scomber scombrus japonicus,17,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
145,Scomber scombrus japonicus,17,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
146,Etrumeus sadina,0,Fish and Inverts (Ramesh),Dussumieriidae,Dussumieriidae,NA,Dussumieriidae,,
147,Etrumeus sadina,0,Fish and Inverts (Ramesh),Dussumieriidae,Dussumieriidae,NA,Dussumieriidae,,
148,Etrumeus sadina,0,Fish and Inverts (Ramesh),Dussumieriidae,Dussumieriidae,NA,Dussumieriidae,,
149,Etrumeus sadina,0,Fish and Inverts (Ramesh),Dussumieriidae,Dussumieriidae,NA,Dussumieriidae,,
150,Morone flavescens,36,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
151,Morone saxitilis,33,Fish and Inverts (Ramesh),NA,NA,NA,Moronidae,,
152,Achirus lineatus,23,Fish and Inverts (Ramesh),Achiridae,Achiridae,NA,Achiridae,,
153,Scomberomorus maculatus,9,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
154,Scomberomorus maculatus,9,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
155,Scomberomorus maculatus,9,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
156,Coregonus hoyi,24,Fish and Inverts (Ramesh),NA,Salmonidae,NA,Salmonidae,,
157,Engraulis ringens,74,Fish and Inverts (Ramesh),Engraulidae,Engraulidae,NA,Engraulidae,,
158,Engraulis encrasicolus,37,Fish and Inverts (Ramesh),Engraulidae,Engraulidae,NA,Engraulidae,,
159,Dorosoma cepedianum,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
160,Dorosoma cepedianum,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
161,Anchoviella guineensis,37,Fish and Inverts (Ramesh),NA,NA,NA,Engraulidae,,
162,Alosa sapidissima,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
163,Alosa sapidissima,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
164,Alosa sapidissima,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
165,Alosa sapidissima,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
166,Alosa sapidissima,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
167,Alosa sapidissima,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
168,Alosa sapidissima,0,Fish and Inverts (Ramesh),Clupeidae,Clupeidae,NA,Clupeidae,,
169,Anchoa mitchilli,32,Fish and Inverts (Ramesh),Engraulidae,Engraulidae,NA,Engraulidae,,
170,Thunnus thynnus maccoyii,24,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
171,Cheilodipterus quinquelineatus,23,Fish and Inverts (Ramesh),Apogonidae,Apogonidae,NA,Apogonidae,,
172,Scomber pelamys,20,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
173,Melanogrammus aeglefinus,127,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
174,Melanogrammus aeglefinus,127,Fish and Inverts (Ramesh),Gadidae,Gadidae,NA,Gadidae,,
175,Thunnus thynnus,28,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
176,Ammodytes americanus,159,Fish and Inverts (Ramesh),Ammodytidae,Ammodytidae,NA,Ammodytidae,,
177,Paralichthys dentatus,99,Fish and Inverts (Ramesh),Paralichthyidae,Paralichthyidae,NA,Paralichthyidae,,
178,Paralichthys dentatus,99,Fish and Inverts (Ramesh),Paralichthyidae,Paralichthyidae,NA,Paralichthyidae,,
179,Paralichthys dentatus,99,Fish and Inverts (Ramesh),Paralichthyidae,Paralichthyidae,NA,Paralichthyidae,,
180,Scomber quadripunctatus,24,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
181,Salmo vimba,28,Fish and Inverts (Ramesh),NA,NA,NA,Salmonidae,,
182,Morone americana,85,Fish and Inverts (Ramesh),Moronidae,Moronidae,NA,Moronidae,,
183,Abudefduf curacao,13,Fish and Inverts (Ramesh),NA,NA,NA,Pomacentridae,,
184,Sardinops caeruleus,44,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
185,Sardinops caeruleus,44,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
186,Sardinops caeruleus,44,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
187,Sardinops caeruleus,44,Fish and Inverts (Ramesh),NA,NA,NA,Clupeidae,,
188,Scomber japonicus,17,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
189,Scomber japonicus,17,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
190,Thunnus vulgaris,28,Fish and Inverts (Ramesh),NA,NA,NA,Scombridae,,
191,Anchoviella tapirulus,74,Fish and Inverts (Ramesh),NA,NA,NA,Engraulidae,,
192,Euthynnus alletteratus,24,Fish and Inverts (Ramesh),Scombridae,Scombridae,NA,Scombridae,,
193,Callichirus islagrande,14,Fish and Inverts (Ramesh),NA,NA,NA,Callichiridae,,
194,Hemigrapsus oregonensis,24.5,Fish and Inverts (Ramesh),NA,NA,NA,Varunidae,,
195,Lepidophthalmus louisianensis,3,Fish and Inverts (Ramesh),NA,NA,NA,Callichiridae,,
196,Pachygrapsus crassipes,88,Fish and Inverts (Ramesh),NA,NA,NA,Grapsidae,,
197,Pandalus borealis,105,Fish and Inverts (Ramesh),Pandalidae,NA,NA,Pandalidae,,
198,Penaeus monodon,14,Fish and Inverts (Ramesh),Penaeidae,NA,NA,Penaeidae,,
199,Penaeus monodon,14,Fish and Inverts (Ramesh),Penaeidae,NA,NA,Penaeidae,,
200,Synalpheus pectiniger,3,Fish and Inverts (Ramesh),NA,NA,NA,Alpheidae,,
201,Abudefduf saxatilis,23,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
202,Acanthochromis polyacanthus,0,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
203,Acanthochromis polyacanthus,0,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
204,Acanthurus chirurgus,55.2,Fish and Inverts (Ramesh),Acanthuridae,Acanthuridae,NA,Acanthuridae,,
205,Acanthurus triostegus,60,Fish and Inverts (Ramesh),Acanthuridae,Acanthuridae,NA,Acanthuridae,,
206,Acanthurus triostegus,60,Fish and Inverts (Ramesh),Acanthuridae,Acanthuridae,NA,Acanthuridae,,
207,Acanthurus triostegus,65,Fish and Inverts (Ramesh),Acanthuridae,Acanthuridae,NA,Acanthuridae,,
208,Alloclinus holderi,60,Fish and Inverts (Ramesh),NA,Labrisomidae,NA,Labrisomidae,,
209,Amphiprion clarkii,11.5,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
210,Amphiprion melanopus,18.5,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
211,Arnoglossus thori,31.4,Fish and Inverts (Ramesh),Bothidae,Bothidae,NA,Bothidae,,
212,Atherina hepsetus,83,Fish and Inverts (Ramesh),Atherinidae,Atherinidae,NA,Atherinidae,,
213,Axoclinus nigricaudus,18,Fish and Inverts (Ramesh),Tripterygiidae,Tripterygiidae,NA,Tripterygiidae,,
214,Balistes vetula,75,Fish and Inverts (Ramesh),Balistidae,Balistidae,NA,Balistidae,,
215,Bathygobius soporator,30,Fish and Inverts (Ramesh),Gobiidae,Gobiidae,NA,Gobiidae,,
216,Boops boops,16.9,Fish and Inverts (Ramesh),Sparidae,Sparidae,NA,Sparidae,,
217,Bothus podas,33.7,Fish and Inverts (Ramesh),Bothidae,Bothidae,NA,Bothidae,,
218,Caesio cuning,45,Fish and Inverts (Ramesh),Caesionidae,Caesionidae,NA,Caesionidae,,
219,Chaetodon citrinellus,45,Fish and Inverts (Ramesh),Chaetodontidae,Chaetodontidae,NA,Chaetodontidae,,
220,Chaetodon quadrimaculatus,45,Fish and Inverts (Ramesh),Chaetodontidae,Chaetodontidae,NA,Chaetodontidae,,
221,Chanos chanos,21,Fish and Inverts (Ramesh),Chanidae,Chanidae,NA,Chanidae,,
222,Chelidonichthys spinosus,19,Fish and Inverts (Ramesh),Triglidae,Triglidae,NA,Triglidae,,
223,Chionodraco hamatus,547,Fish and Inverts (Ramesh),Channichthyidae,Channichthyidae,NA,Channichthyidae,,
224,Chromis atripectoralis,21,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
225,Chromis punctipinnis,35,Fish and Inverts (Ramesh),Pomacentridae,Pomacentridae,NA,Pomacentridae,,
